Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price to be sold at,Quantity sold,Tax 5%,Total,Date,Time,Payment,COGS,gross margin percentage(unit),gross profit,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.14,548.97,1/5/2019,13:08,Ewallet,256.19,51,266.64,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,23.68,69,52.72,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.22,340.53,3/3/2019,13:23,Credit card,162.16,50,162.16,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.29,489.05,1/27/2019,20:33,Ewallet,218.91,53,246.85,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.21,634.38,2/8/2019,10:37,Ewallet,193.33,68,410.84,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.89,627.62,3/25/2019,18:30,Ewallet,203.23,66,394.5,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.65,433.69,2/25/2019,14:36,Ewallet,202.39,51,210.65,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,228.04,69,507.56,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.63,76.15,1/10/2019,17:15,Credit card,33.36,54,39.16,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.23,172.75,2/20/2019,13:27,Credit card,78.97,52,85.55,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.9,60.82,2/6/2019,18:07,Ewallet,18.53,68,39.39,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.1,107.14,3/9/2019,17:03,Cash,40.82,60,61.22,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.74,246.49,2/12/2019,10:25,Ewallet,89.21,62,145.55,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.6,453.5,2/7/2019,16:48,Ewallet,190.04,56,241.86,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,242.69,66,471.11,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.12,590.44,1/15/2019,16:19,Cash,168.7,70,393.62,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.13,506.64,3/11/2019,11:03,Credit card,236.43,51,246.08,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.78,457.44,1/1/2019,10:39,Credit card,187.33,57,248.33,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2,172.21,1/21/2019,18:00,Credit card,75.44,54,88.57,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,3/11/2019,15:30,Ewallet,33.85,58,46.75,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,133.36,69,296.84,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.2,277.14,3/5/2019,10:40,Ewallet,102.94,61,161,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,31.87,52,34.53,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,60.48,65,112.32,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.29,279.18,3/2/2019,17:36,Ewallet,79.77,70,186.12,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.04,441.76,3/22/2019,19:20,Credit card,206.15,51,214.57,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.68,35.2,2/8/2019,15:31,Cash,14.08,58,19.44,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.77,184.11,3/10/2019,12:17,Credit card,52.6,70,122.74,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,203.23,54,238.57,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2,235.21,3/15/2019,15:36,Cash,73.92,67,150.09,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.53,494.18,2/25/2019,19:39,Credit card,178.85,62,291.8,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.13,737.76,1/28/2019,12:43,Cash,295.1,58,407.53,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.51,703.75,1/10/2019,14:49,Cash,321.72,52,348.52,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.66,202.82,3/15/2019,10:12,Credit card,90.79,53,102.37,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.88,417.56,2/6/2019,10:42,Ewallet,139.19,65,258.49,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.41,71.53,1/7/2019,12:28,Ewallet,21.8,68,46.32,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.66,328.76,3/10/2019,19:15,Ewallet,106.45,66,206.65,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.4,575.32,1/15/2019,17:17,Ewallet,175.33,68,372.59,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.97,461.33,3/23/2019,13:24,Ewallet,153.78,65,285.58,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.05,253.01,3/3/2019,13:01,Cash,115.66,52,125.3,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.34,91.06,1/17/2019,18:45,Ewallet,27.75,68,58.97,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.61,117.83,2/2/2019,10:11,Cash,49.38,56,62.84,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.74,435.46,2/8/2019,13:03,Cash,182.48,56,232.24,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,3/4/2019,20:39,Cash,363.22,54,426.38,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.54,32.28,3/16/2019,19:47,Cash,13.22,57,17.52,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.79,394.63,3/9/2019,18:00,Cash,139.06,63,236.78,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.51,535.72,2/27/2019,17:24,Credit card,168.37,67,341.84,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9,189.09,2/6/2019,15:47,Ewallet,63.03,65,117.06,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.68,119.26,2/10/2019,12:45,Credit card,35.21,69,78.37,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.32,867.62,3/19/2019,17:08,Ewallet,371.84,55,454.47,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2/3/2019,10:19,Cash,236.73,63,403.07,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.15,234.1,2/10/2019,15:10,Cash,102.56,54,120.39,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.57,75.05,3/22/2019,14:42,Ewallet,23.59,67,47.89,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.77,16.2,1/25/2019,15:46,Credit card,7.1,54,8.33,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.62,33.94,3/7/2019,11:49,Ewallet,12.6,61,19.72,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.39,722.23,2/28/2019,19:01,Cash,268.26,61,419.58,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.43,93.11,3/27/2019,11:26,Cash,33.7,62,54.98,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2/7/2019,11:28,Ewallet,329.73,54,387.07,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.18,759.68,1/20/2019,15:55,Cash,311.11,57,412.4,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.18,192.84,3/12/2019,20:36,Cash,77.14,58,106.52,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.71,77.93,2/15/2019,17:47,Credit card,23.75,68,50.47,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.72,351.1,2/24/2019,10:55,Ewallet,147.13,56,187.25,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.78,520.41,2/3/2019,13:40,Ewallet,158.6,68,337.03,10
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.91,166.01,3/6/2019,12:27,Credit card,47.43,70,110.67,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.15,318.11,2/14/2019,14:35,Cash,142.39,53,160.57,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.94,166.64,3/13/2019,16:40,Cash,47.61,70,111.09,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.35,70.29,2/10/2019,15:43,Ewallet,20.08,70,46.86,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.28,614.94,1/7/2019,15:01,Ewallet,210.84,64,374.82,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.39,827.09,1/24/2019,10:04,Cash,299.33,62,488.37,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.92,19.25,2/2/2019,18:50,Cash,7.33,60,11,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46,Credit card,411.61,54,483.19,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,16:19,Cash,192.57,69,428.63,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.28,152.84,3/5/2019,18:17,Ewallet,46.58,68,98.98,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.77,478.23,3/9/2019,18:21,Cash,195.85,57,259.61,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6,705.63,1/22/2019,10:55,Ewallet,221.77,67,450.26,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.83,437.33,1/13/2019,17:04,Credit card,170.77,59,245.74,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.07,463.43,1/9/2019,14:20,Credit card,207.44,53,233.92,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9,189.09,1/12/2019,15:48,Credit card,57.63,68,122.46,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.16,822.26,3/5/2019,16:24,Ewallet,336.73,57,446.37,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.1,107,1/22/2019,18:56,Cash,37.7,63,64.2,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.76,624.9,1/21/2019,14:42,Credit card,232.1,61,363.04,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.5,304.54,1/26/2019,19:56,Ewallet,121.82,58,168.22,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,1/23/2019,18:37,Ewallet,56.98,63,97.02,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.07,337.51,2/23/2019,18:45,Credit card,106.08,67,215.36,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.23,256.78,3/9/2019,10:17,Cash,119.83,51,124.72,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.07,610.49,3/5/2019,14:31,Ewallet,197.68,66,383.74,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,156.87,59,225.73,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.28,362.94,3/27/2019,20:35,Credit card,124.44,64,221.22,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.12,44.59,1/2/2019,16:57,Cash,14.86,65,27.61,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.1,485.04,2/27/2019,17:55,Cash,175.54,62,286.4,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.48,199,1/23/2019,10:25,Cash,66.33,65,123.19,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,134.58,70,314.02,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.69,161.55,1/10/2019,16:42,Ewallet,58.47,62,95.39,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.96,608.2,3/12/2019,12:09,Credit card,214.32,63,364.92,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.49,94.24,2/6/2019,20:05,Credit card,34.11,62,55.65,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.86,102.02,3/8/2019,20:38,Ewallet,40.81,58,56.35,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.94,922.64,3/29/2019,10:25,Ewallet,272.4,69,606.3,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.74,78.44,2/9/2019,13:11,Cash,35.11,53,39.59,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.91,166.16,3/23/2019,10:16,Ewallet,53.81,66,104.45,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,3/5/2019,18:14,Cash,178.63,64,317.57,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.44,51.15,3/26/2019,19:20,Cash,18.51,62,30.2,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.35,742.3,3/1/2019,13:22,Cash,233.29,67,473.66,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.38,218.01,2/1/2019,11:27,Cash,91.36,56,116.27,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.48,367.04,3/28/2019,16:44,Cash,146.82,58,202.74,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.62,223.07,3/19/2019,18:19,Cash,91.35,57,121.1,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.34,931.04,1/12/2019,14:50,Ewallet,328.08,63,558.62,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.21,172.49,1/5/2019,20:54,Credit card,70.64,57,93.64,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.64,391.42,3/22/2019,20:19,Cash,186.39,50,186.39,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.29,321.11,3/24/2019,10:43,Cash,146.79,52,159.03,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.99,860.69,3/3/2019,14:30,Cash,401.65,51,418.05,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.65,34.63,2/5/2019,11:32,Ewallet,10.55,68,22.43,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.73,309.36,2/5/2019,10:41,Credit card,111.96,62,182.67,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.49,535.37,2/15/2019,12:44,Cash,188.66,63,321.22,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.13,548.76,1/19/2019,20:07,Ewallet,245.64,53,276.99,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.36,763.47,2/1/2019,20:31,Credit card,283.57,61,443.54,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.05,85.11,3/2/2019,13:01,Credit card,32.42,60,48.64,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.49,115.19,3/5/2019,12:29,Ewallet,42.78,61,66.92,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.57,53.93,1/16/2019,15:26,Ewallet,16.95,67,34.41,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2/2/2019,20:48,Ewallet,54.8,50,54.8,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.34,112.22,1/20/2019,20:38,Ewallet,51.3,52,55.58,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.82,836.3,2/14/2019,17:03,Credit card,270.8,66,525.68,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.99,419.83,1/12/2019,12:02,Credit card,135.95,66,263.89,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.98,944.62,3/9/2019,17:26,Credit card,422.83,53,476.81,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.56,536.84,3/13/2019,19:52,Credit card,224.96,56,286.32,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.59,474.35,3/9/2019,14:57,Ewallet,189.74,58,262.02,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.79,688.62,3/10/2019,18:44,Credit card,236.1,64,419.73,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.06,169.31,1/27/2019,13:26,Cash,80.63,50,80.63,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.28,299.85,1/8/2019,16:17,Credit card,128.51,55,157.06,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.42,575.74,1/8/2019,15:57,Ewallet,191.91,65,356.41,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.63,853.15,2/8/2019,11:15,Ewallet,292.51,64,520.01,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.87,291.21,1/25/2019,13:18,Cash,85.98,69,191.36,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.64,580.42,3/6/2019,20:34,Cash,232.17,58,320.61,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.97,146.33,2/10/2019,18:36,Cash,61.32,56,78.04,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.24,550.94,2/17/2019,14:40,Credit card,236.12,55,288.59,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,3/8/2019,16:43,Ewallet,175.61,64,312.19,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.53,284.19,2/18/2019,19:39,Cash,127.21,53,143.45,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.58,138.13,1/18/2019,20:59,Credit card,44.73,66,86.82,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.33,216.85,2/18/2019,15:39,Cash,99.13,52,107.39,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.96,545.06,2/16/2019,12:21,Cash,207.64,60,311.46,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29,609,3/16/2019,19:25,Ewallet,214.6,63,365.4,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,1/23/2019,13:00,Credit card,368.18,59,529.82,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,1/25/2019,13:48,Cash,371.05,59,533.95,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2/5/2019,19:57,Cash,246.96,64,439.04,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.52,31.93,2/22/2019,10:36,Credit card,10.34,66,20.07,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.39,491.09,1/21/2019,16:37,Ewallet,224.5,52,243.2,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.88,291.44,3/8/2019,17:11,Credit card,88.82,68,188.74,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2/10/2019,12:28,Ewallet,108.5,64,192.9,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.23,277.79,3/19/2019,12:46,Credit card,97.89,63,166.67,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.74,603.62,3/6/2019,15:07,Credit card,281.69,51,293.19,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.98,272.66,3/27/2019,13:48,Credit card,127.24,51,132.44,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.31,384.47,3/23/2019,19:20,Credit card,153.79,58,212.37,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.1,254.02,3/11/2019,16:07,Credit card,96.77,60,145.15,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.46,786.62,1/29/2019,11:56,Credit card,352.11,53,397.05,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.94,103.82,2/7/2019,18:23,Ewallet,43.51,56,55.37,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.39,680.15,1/28/2019,13:05,Cash,265.58,59,382.18,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.07,484.52,2/20/2019,15:55,Credit card,212.27,54,249.18,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.61,75.78,1/4/2019,19:40,Cash,33.2,54,38.97,6.1
